nom,prix,ancien_prix,remise_pct,url,image_url,site,categorie,date_scraping,en_promotion,gamme_prix,product_id
VATNESTRÖM,9995.0,,0.0,https://www.ikea.com/ma/fr/p/vatnestroem-matelas-a-ressorts-ensaches-ferme-naturel-60476410/,https://www.ikea.com/ma/fr/images/products/vatnestroem-matelas-a-ressorts-ensaches-ferme-naturel__1298620_pe936249_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:04,False,Premium (4000-10k),ikea_82
KLEPPSTAD,2495.0,,0.0,https://www.ikea.com/ma/fr/p/kleppstad-armoire-a-portes-coulissantes-blanc-90437238/,https://www.ikea.com/ma/fr/images/products/kleppstad-armoire-a-portes-coulissantes-blanc__0823547_pe775917_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:06,False,Milieu (1500-4000),ikea_91
UTÅKER,3995.0,,0.0,https://www.ikea.com/ma/fr/p/utaker-lit-empilable-avec-2-matelas-pin-agotnes-ferme-s69428132/,https://www.ikea.com/ma/fr/images/products/utaker-lit-empilable-avec-2-matelas-pin-agotnes-ferme__1171959_pe893220_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:02,False,Milieu (1500-4000),ikea_92
RAMNEFJÄLL,3995.0,,0.0,https://www.ikea.com/ma/fr/p/ramnefjaell-cadre-de-lit-matelasse-kilanda-beige-clair-luroey-s19552751/,https://www.ikea.com/ma/fr/images/products/ramnefjaell-cadre-de-lit-matelasse-kilanda-beige-clair-luroey__1258172_pe927371_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:50:58,False,Milieu (1500-4000),ikea_95
VISTHUS,2995.0,,0.0,https://www.ikea.com/ma/fr/p/visthus-armoire-penderie-gris-blanc-70493447/,https://www.ikea.com/ma/fr/images/products/visthus-armoire-penderie-gris-blanc__0592300_pe674449_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:05,False,Milieu (1500-4000),ikea_100
PAX / MEHAMN/AULI,10340.0,,0.0,https://www.ikea.com/ma/fr/p/pax-mehamn-auli-armoire-pte-coul-gris-fonce-double-face-vert-clair-miroir-s19551723/,https://www.ikea.com/ma/fr/images/products/pax-mehamn-auli-armoire-pte-coul-gris-fonce-double-face-vert-clair-miroir__1293615_pe935227_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:13,False,Luxe (>10k),ikea_101
SONGESAND,4295.0,,0.0,https://www.ikea.com/ma/fr/p/songesand-cadre-de-lit-4boites-de-rangement-blanc-s29241320/,https://www.ikea.com/ma/fr/images/products/songesand-cadre-de-lit-4boites-de-rangement-blanc__1151019_pe884760_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:50:56,False,Premium (4000-10k),ikea_103
RAKKESTAD,2495.0,,0.0,https://www.ikea.com/ma/fr/p/rakkestad-armoire-3-portes-brun-noir-70453762/,https://www.ikea.com/ma/fr/images/products/rakkestad-armoire-3-portes-brun-noir__0823987_pe776018_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:05,False,Milieu (1500-4000),ikea_127
GURSKEN,5199.0,,0.0,https://www.ikea.com/ma/fr/p/gursken-mobilier-chambre-lot-de-5-beige-clair-s39417012/,https://www.ikea.com/ma/fr/images/products/gursken-mobilier-chambre-lot-de-5-beige-clair__0970603_pe811129_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:53:28,False,Premium (4000-10k),ikea_133
RAMSTA,1999.0,,0.0,https://www.ikea.com/ma/fr/p/ramsta-structure-divan-av-sommier-a-lattes-blanc-s29179554/,https://www.ikea.com/ma/fr/images/products/ramsta-structure-divan-av-sommier-a-lattes-blanc__0442871_pe594008_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:50:53,False,Milieu (1500-4000),ikea_152
